#,Title,Author,Database,Year
479,Parametric Modeling and BIM: Innovative Design Education for Integrated Building Practices,"Haliburton, James; Mark Clayton, Ozan Ozener, Francisco Farias, WoonSeong Jeong",ACADIA,2011
480,Design-Aided Computing: Adapting Old Spaces to New Uses,"Hall, Theodore W. ",ACADIA,1985
481,"Space Stations, Computers and Architectural Design","Hall, Theodore W. ",ACADIA,1987
482,2001: An Acadia Odyssey,"Hall, Theodore W. ",ACADIA,2001
483,An Interactive Poster System to Solicit Casual Design Feedback,"Hall, Theodore W.; Wassim Jabi; Katia Passerini; Cristian Borcea; Quentin Jones",ACADIA,2008
484,Dragonfly: An Ecological Approach to Digital Architectural Design,"Hambleton, Daniel; Braund, Michael; Walsh, Chris",ACADIA,2011
485,Modularity and Flexibility at the Small Scale: Evolving Continuous Material Variation with Stereolithography,"Hanna, Sean",ACADIA,2004
486,Reconnecting [Conference Proceedings],"Harfman, Anton and Frazer, Michael J.",ACADIA,Eds.
487,The Terminal Crit,"Harfmann, A.C., Swerdloff, L.M. and Kalay, Y.E.",ACADIA,1986
488,"Component-Based, Three-Dimensional ""Working Drawings""","Harfmann, Anton C. ",ACADIA,1993
489,The Composite Building Sketch,"Harfmann, Anton C. and Akins, Peter E.",ACADIA,2000
490,Component Based Computer Aided Learning for Students of Architecture and Civil Engineering,"Harfmann, Anton C. and Chen, Stuart S.",ACADIA,1989
491,Building Representation within a Component Based Paradigm,"Harfmann, Anton C. and Chen, Stuart S.",ACADIA,1990
492,Component-Based Spatial Reasoning,"Harfmann, Anton C. and Majkowski, Bruce R. ",ACADIA,1992
493,Implementation of Component Based Design: A Pedagogical and Actual Case Study,"Harfmann, Anton",ACADIA,2004
494,What Bricks Want: Machine Learning and Iterative Ruin,"Harrison, Paul",ACADIA,2016
495,AGENTS OF RISK: EMBEDDING RESISTANCE IN ARCHITECTURAL PRODUCTION,"Harrop, Patrick",ACADIA,2004
496,The hexEnvelope system: a cross-platform embedding of material and software logic into descriptive geometry,"Hasegawa, Toru",ACADIA,2006
497,Computing Outdoor Comfort Based on CBE Thermal Comfort Calculation for Ashrae-55,"Hatefnia, Navid; Ghobad, Marjan ",ACADIA,2015
498,ï¿½Flatnessï¿?through Camera The Implications of Camera Movement in the Digital Reconstruction of Diamond Museum,"He, Weiling",ACADIA,2006
499,An Evaluation of Urban Simulation Processes for the Elumens Vision Dome,"Head, J., Hoag, R. and Brooks, K.",ACADIA,2002
500,Lamellar Flows: Digitally Conceived Building Skins,"Hell, Ula; Kehne, Holger; Pichler, Peter",ACADIA,2014
501,In-Situ Robotic Construction: Extending the Digital Fabrication Chain in Architecture,"Helm, Volker ; Ercan, Selen ; Gramazio, Fabio ; Kohler, Matthias",ACADIA,2012
502,Problem-Driven and Solution-Based Design: Twin Processes of Biologically Inspired Design,"Helms, Michael E.; Swaroop S. Vattam; Ashok K. Goel; Jeannette Yen; Marc Weissburg",ACADIA,2008
503,Decon Recon: Parametric CADCAM Deconstruction Research,"Hemsath, Timothy L.; McCracken, Brian; Russell, Darin ",ACADIA,2009
504,Digital CADCAM Pedagogy Model: Intelligent Inquiry Education,"Hemsath, Timothy; Robert Williams; Ronald Bonnstetter; Leen-Kiat Soh",ACADIA,2008
505,Taking Turns: Strained Metaphors as Generators of Form in Computer Aided Design ,"Herbert, Daniel M. ",ACADIA,1997
506,Study Drawings in Architectural Design: Applications for CAD Systems,"Herbert, Daniel M.",ACADIA,1987
507,A Critical Analysis of Design Processes and Media: Applications for Computer-Aided Design,"Herbert, Daniel M.",ACADIA,1994
508,"Models, Scanners, Pencils, and CAD: Interactions Between Manual and Digital Media","Herbert, Daniel M.",ACADIA,1995
509,Four-D Architectural Exploration Through CAD: Applications of the Computer to Architectural History,"Herman, M. Jackson, N. and Pomerenke, S.",ACADIA,1987
510,Arduino Microcontrollers and The Queenï¿½s Hamlet: Utilitarian and Hedonized DIY Practices in Contemporary Electronic Culture,"Hertz, Garnet",ACADIA,2011
511,Destination: Practice ï¿?Towards a maintenance contract for the architectï¿½s degree,"Heylighen, Ann  and  Neuckermans, Herman",ACADIA,2001
512,Crossing Two Thresholds with one Stepping Stone ï¿?Scenario for a More Comfortable Design Environment,"Heylighen, Ann and Segers, Nicole M. ",ACADIA,2002
513,"Hydrauli_City: Urban Design, Infrastructure, Ecology","Hight, Christopher; Natalia Beard; Michael Robinson",ACADIA,2008
514,Virtual Reality in the Architectural Design Studio,"Hill, Pamela J. and Smeltzer, Geert T.A.",ACADIA,1994
515,Mountain Deflection Reflection,"Hilleson, Zachary and Norman, F. Stacy",ACADIA,2003
516,Interior Climate Optimization by Volumetric Adjustment,"Hillukka, Daniel",ACADIA,2011
517,"CAAD Meets Digital Photogrammetry: Modeling ""Weak Forms"" for Computer Measurement ","Hirschberg, Urs and Streilein, Andrï¿?,ACADIA,1995,,
518,Adaptive Structures: Building for performance and sustainability,Hoberman", Chuck; Schwitter," Craig"""
519,Inform Form Perform,"Holland, Nate",ACADIA,2011
520,Enhancing Architectural Communication with Gaming Engines,"Hoon, Michael and Kehoe, Michael ",ACADIA,2003
521,Optically Illusive Architecture: Producing Depthless Objects Using Principles of Linear Perspective,"Hosseini, S. Vahab; Taron, Joshua M.; Alim, Usman R.",ACADIA,2017
522,From Dreamtime to QuickTime: The Resurgence of the 360-Degree Panoramic View as a Form of Computer-Synthesised Architectural Representation.,"Hotten, Robert D. and Diprose, Peter R.",ACADIA,2000
523,Algorithmic Modeling: Teaching Architecture in Digital Age,"Howe, Nathan",ACADIA,2011
524,Dancing on the Desktop,"Hsiao, Chih-Pin ; Davis, Nicholas M. ; Do, Ellen Yi-Luen",ACADIA,2012
525,Constraint Based Space Planning: A Case Study,"Hsu, Ying-Chun ",ACADIA,2000
526,Constraint Based Space Planning: A Case Study,"Hsu, Ying-Chun ",ACADIA,2000
527,"HalO [Indoor Positioning Mobile Platform]: A Data-Driven, Indoor-Positioning System With Bluetooth Low Energy Technology To Datafy Indoor Circulation And Classify Social Gathering Patterns For Assisting Post Occupancy Evaluation","Hu, Zhengrong; Park, Ju Hong",ACADIA,2017
528,Chelsea Workspace,"Huang, Alvin",ACADIA,2014
529,Pure Tension Pavilion,"Huang, Alvin",ACADIA,2014
530,Daegu Gosan Public Library,"Huang, Alvin",ACADIA,2014
531,From Bones to Bricks: Design the 3D Printed Durotaxis Chair and La Burbuja Lamp,"Huang, Alvin",ACADIA,2016
532,Nearly Minimal: How intuition and analysis inform the minimal surface geometries in the Pure Tension Pavilion,"Huang, Alvin; Lewis, Stephen",ACADIA,2014
533,Project Extranets and Distributed Design: The Value of Internet-Based Media for Design Collaboration,"Huang, Jeffrey ",ACADIA,1999
534,i+a: Explorations in Emerging Architectural / Typologies and Design Processes,"Huang, Jeffrey and Schroepfer, Thomas ",ACADIA,2002
535,A Visualization Model for Computerized Energy Evaluation During the Conceptual Design Stage (ENERGRAPH),"Huang, Tao-Kuang, Degelman, Larry O., and Larsen, Terry R. ",ACADIA,1992
536,Race track modeler. Developing an Iterative Design Workflow Combining a Game Engine and Parametric Design,"Hudson, Roly; Drew MacDonald, Mark Humphreys",ACADIA,2011
537,Puff`d Composites,"Huller, Brennen; Long, Nels; Troufanov, Nikita; Wiscombe, Tom",ACADIA,2014
538,SANDbox Urbanism - suggestions for deserting the city,"Hume, Andrew and Schultz, Amy",ACADIA,2003
539,Robotic Landscapes: Developing Computational Design Tools Towards Autonomous Terrain Modeling,"Hurkxkens, Ilmar; Girot, Christophe; Hutter, Marco ",ACADIA,2017
540,Sandworks / Sand Tectonic Prototype,"Hussein, Ahmed ",ACADIA,2015
541,SpaceCore: Metadata for Retrieving Spatial Information in Architecture,"Hwang, Jie-Eun and Choi, Jin-Won ",ACADIA,2002
542,Punching Above Your Weight: Digital Design Methods and Organisational Change in Small Practice,"Hyde, Rory",ACADIA,2007
543,"When The Going Gets Tough, The Pluripotent Get Going: Resilient Developmental Models","Hynes, Hugh",ACADIA,2008
544,CentriPETAL,"Ibaï¿½ez, Mariana; Kim, Simon",ACADIA,2014
545,The Level of Knowledge of CAD Objects within the Building Information Model,"Ibrahim, Magdy and Krawczyk, Robert",ACADIA,2003
546,Biological Data-Mining and Optimization ; In the case of Immunorium project,"Iitsuka, Mayum",ACADIA,2014
547,Tectonic Tessellations: A Digital Approach to Ceramic Structural Surfaces,"Imbern, Matias ; Raspall, Felix ; Su, Qi",ACADIA,2012
548,Stigmergic Planning,"Ireland, Tim ",ACADIA,2010
549,A Cell-Inspired Model of Configuration,"Ireland, Tim ",ACADIA,2015
550,Embodied Fabrication: Computer Aided Spacemaking,"Iwamoto, Lisa",ACADIA,2004
551,Material Computation: Voussoir cloud,"Iwamoto, Lisa; Scott, Craig",ACADIA,2011
552,REQUIREMENTS FOR AN EFFECTIVE DISTRIBUTED DESIGN REVIEW,"Jabi, W., Goldman, G.  and Johnson, B.",ACADIA,2003
553,ACADIA 2001 [Conference Proceedings],"Jabi, Wassim",ACADIA,Ed.
554,STUDIO@UB,"Jabi, Wassim ",ACADIA,1999
555,Digital Design ,"Jabi, Wassim ",ACADIA,2003
556,The Potential of Non-Manifold Topology in the Early Design Stages,"Jabi, Wassim ",ACADIA,2015
557,WebOutliner: A Web-Based Tool for Collaborative Space Programming and Design,"Jabi, Wassim",ACADIA,2000
558,The Vista System: A Virtual Slide Tray Archive,"Jabi, Wassim",ACADIA,2001
559,Digital Tectonics: The intersection of the physical and the virtual,"Jabi, Wassim",ACADIA,2004
560,Were they right?,"Jabi, Wassim",ACADIA,2006
561,Fabricating Sustainable Concrete Elements: A Physical Instantiation of the Marching Cubes Algorithm,"Jackson, Jesse ; Stern, Luke",ACADIA,2012
562,Lotus Pond Bridge: A Case Study in Collaboration Using Parametric Modeling,"Jaeger, Stephanie",ACADIA,2001
563,Mesh Agency," Jahn, Gwyllim; Morgan, Thomas; Roudavski, Stanlislav",ACADIA,2014
564,Integrative Design Strategies for Multimedia in Architecture,"James, Anne; Nagasaka, Dai",ACADIA,2011
565,An Allegorical Architecture: A Proposed Interpretive Center for the Bonneville Salt Flats,"James, Stephen ",ACADIA,1999
566,"(In:)forming Interactive Architectural Systems, Case of the xMAiA Meta-model ","Jaskiewicz, Tomasz ",ACADIA,2010
567,ï¿½iPortalsï¿?as a Case Study Pre-Prototype of an Evolving Network of Interactive Spatial Components,"Jaskiewicz, Tomasz",ACADIA,2008
568,Designing-In Performance: A Case Study of Applying Evolutionary Energy-Performance Feedback for Design (EEPFD),"Jason Gerber, David; Eve Lin, Shih-Hsin; Amber Ma, Xinyue",ACADIA,2013
569,Eucalyptus: User Controlled Lightpath Enabled Participatory Design Studio,"Jemtrud, Michael",ACADIA,2006
570,Visualization of Building Energy Performance in Building Information Models,"Jeong, WoonSeong; Kim, Jong Bum; Clayton, Mark J.; Haberl, Jeff S.; Yan, Wei",ACADIA,2013
571,Bioinspiration For Engineering And Architecture: Materialsï¿½Structuresï¿½Function,"Jeronimidis, George",ACADIA,2008
572,Soft-Modelling,"Jimenez Garcia, Manuel",ACADIA,2014
573,An Interface Between CAD and Energy Analysis System,"Jog, Bharati ",ACADIA,1987
574,Integration of Computer Applications in the Practice of Architecture,"Jog, Bharati ",ACADIA,1993
575,EVAL: A Web-based Design Review System,"Johnson, Brian and Kolarevic, Branko",ACADIA,1999
576,The Graphics Application Paradigm: A Framework for User Understanding of CG/CAD Applications,"Johnson, Brian R. ",ACADIA,1993
577,Inside Out,"Johnson, Brian R.",ACADIA,1990
578,Between Friends: Support of Workgroup Communications,"Johnson, Brian R.",ACADIA,2000
579,Virtuality and Place," Johnson, Brian R.",ACADIA,2002
580,Surfing the Tide of Change,"Johnson, Brian",ACADIA,2006
581,Future Cities Lab | Energy Farm: Seoul Opera House,"Johnson, J., Gattegno, N.",ACADIA,2006
582,Foreword: Complex Entanglements,"Johnson, Jason Kelly",ACADIA,2016
583,Synthetic Digital Ecologies,"Johnson, Jason Kelly; Cabrinha, Mark; Steinfeld, Kyle",ACADIA,2012
584,Integrating Difference,"Johnson, Jason S",ACADIA,2011
585,Pareidolic Formations,"Johnson, Jason S.; Gardner, Guy",ACADIA,2017
586,Architectural Heat Maps: A Workflow for Synthesizing Data,"Johnson, Jason S.; Parker, Matthew",ACADIA,2016
587,"Complexity as a Creative Force in Design Variegation, Heterogeneity, Diversity","Johnson, Jason",ACADIA,2006
588,ACADIA 12: Synthetic Digital Ecologies,"Johnson, Jason; Cabrina, Mark and Steinfeld, Kyle",ACADIA,eds.
589,This is not a Glitch: Algorithms and Anomalies in Google Architecture,"Johnson, Jason; Parker, Matthew",ACADIA,2014
590,Micro-computers and Computer Aided Design Instruction,"Johnson, Robert E. ",ACADIA,1986
591,The Impact of Information Technology in Design and Construction: The Owner's Perspective ,"Johnson, Robert E. and Clayton, Mark",ACADIA,1997
592,Digital Innovation and Organizational Change in Design Practice,"Johnson, Robert E. and Laepple, Eberhard S. ",ACADIA,2003
593,The Impact of E-Commerce on the Design and Construction Industry,"Johnson, Robert E.",ACADIA,2000
594,Binary Oppositions: Should an Introduction to Computing in Architecture Be Taught as Separate Course?,"Johnson, Scott and Goldman, Glenn",ACADIA,2001
595,Binary Oppositions: Should Designers Learn to Think Differently in order to Better Utilize Digital Design Tools?,"Johnson, Scott and Johnson, Brian",ACADIA,2000
596,Binary Oppositions: Will Computers Be Able to Design as well as Human Designers in the Foreseeable Future?,"Johnson, Scott and Mahalingam, Ganapathy",ACADIA,2000
597,"What's in a Representation, Why Do We Care, and What Does It Mean? Examining Evidence from Psychology ","Johnson, Scott",ACADIA,1997
598,Making Models Architectural: Protean Representations to Fit Architectsï¿?Minds,"Johnson, Scott",ACADIA,1998
599,Linking Analysis and Architectural Data: Why It's Harder than We Thought,"Johnson, Scott",ACADIA,2004
600,Binary Oppositions: Should Buildings Designed with a Computer ï¿½Look Likeï¿?They Were Designed with a Computer?,"Johnson,Scott and Clayton , Mark",ACADIA,2000
601,Binary Oppositions: Are Computers Yet Aids for Design?,"Johnson,Scott and Mueller, Volker ",ACADIA,2000
602,From Research to Practice [Conference Proceedings],"Jordan, J. Peter",ACADIA,Ed.
603,ARCH 431: Computer-Aided Design,"Jordan, J. Peter",ACADIA,1988
604,Design and Representation [Conference Proceedings],"Jordan, P., Mehnert, B. and Harfmann, A.",ACADIA,Eds.
605,Exploring the Evolution of Meta Parametric Models,"Joyce, Sam Conrad; Ibrahim, Nazim",ACADIA,2017
606,Immersive Redliner: Collaborative Design in Cyberspace ,"Jung, Thomas and Do, Ellen Yi-Luen",ACADIA,2000
607,SolCAD: 3D Spatial Design Tool Tool to Generate Solar Envelope,"Juyal, M., Kensek, K. and Knowles, R.",ACADIA,2003
608,High Rise Morphologies: Architectural Form Finding in a Performative Design Search Space of Dense Urban Contexts,"Jyoti, Aurgho ",ACADIA,2015
609,"Crease, Fold, Pour: Rethinking flexible formwork with digital fabrication and origami folding","Kaczynski, Maciej P.",ACADIA,2013
610,Robotically Fabricated Thin-shell Vaulting: A method for the integration of multi-axis fabrication processes with algorithmic form-finding techniques,"Kaczynski, Maciej P; McGee, Wes; Pigram, David ",ACADIA,2011
611,ALEX: A Knowledge-Based Architectural Design System,"Kalay, Y.E., Harfmann, A.C. and Swerdloff, L.M.",ACADIA,1985
612,Designer-Client Collaboration in Architectural and Software Design,"Kalay, Yehuda and Sï¿½quin, Carlo",ACADIA,1995
613,Architecture and the Internet: Designing Places in Cyberspace,"Kalay, Yehuda E.  and Marx, John ",ACADIA,2001
614,P3: An Integrated Environment to Support Design Collaboration ,"Kalay, Yehuda E. ",ACADIA,1997
615,Collaborative Design Process Simulation Game,"Kalay, Yehuda E. and Jeong, Yongwook ",ACADIA,2003
616,CAD Technology Transfer: A Case Study,"Kalay, Yehuda E. and Majkowski, Bruce R.",ACADIA,1990
617,The (changing) roles of computing in architectural design and education,"Kalay, Yehuda E.",ACADIA,2006
618,Oakland Blues: Virtual Presentation of 7th Streetï¿½s 1950ï¿½s Jazz Scene,"Kalay, Yehuda E.; Grabowicz, Paul",ACADIA,2007
619,An Affordable Immersive Environment in Beginning Design Studio Education,"Kalisperis, L., Otto, G., Muramoto, K., Gundrum, J., Masters, R. and Orland, B.",ACADIA,2002
620,Design Philosophy: Implications for Computer Integration in the Practice of Architecture,"Kalisperis, Loukas N. and Groninger, Randal L. ",ACADIA,1992
621,"Computing in Design - Enabling, Capturing and Sharing Ideas [Conference Proceedings]","Kalisperis, Loukas N. and Kolarevic, Branko",ACADIA,Eds.
622,3D Visualization in Design Education,"Kalisperis, Loukas N.",ACADIA,1994
623,Bug-Out Fabrication: A Parallel Investigation using the Namib Darkling Beetle as a Biological Model and Incremental Sheet Metal Forming as a Fabrication Method.,"Kalo, Ammar; Newsum, Michael Jake",ACADIA,2014
624,Robotic Incremental Sheet Metal Fabrication,"Kalo, Ammar; Newsum, Michael Jake",ACADIA,2014
625,Web4D: Challenges and Practices for Construction Scheduling,"Kang, H.,  Anderson, S.D. and Clayton, M.J. ",ACADIA,2001
626,Parametric Thinking,"Karle, David; Brian M. Kelly",ACADIA,2011
627,A Parametric Approach to the Design of a Tensegrity Vaulted Dome for an Ephemeral Structure for the 2004 Olympics,"Katherine A. Liapi, Katherine A. and Kim, Jinman ",ACADIA,2003
628,Poiesis and Autopoiesis in Architecture,"Katodrytis, George",ACADIA,2005
629,"Paint Systems as a Design Tool .... ""Oh Wow!""","Katz, Genevieve ",ACADIA,1988
630,THE ELEMENTS OF DESIGN INFORMATION FOR PARTICIPATION IN NEIGHBORHOOD-SCALE PLANNING ,"Kellett, R., Brown, G.Z., Dietrich, K., Girling, C., Duncan, J., Larsen, K. and Hendrickson, E.",ACADIA,1997
631,MEDIA MATTERS: NUDGING DIGITAL MEDIA INTO A MANUAL DESIGN PROCESS (AND VICE VERSA),"Kellett, Ronald ",ACADIA,1996
632,"Smart Disassembly: Or, How I Learned to Take Things Apart""","Kelley, Thomas ; Blankenbaker, Sarah",ACADIA,2012
633,CAD-Spreadsheet Linkages for Design and Analysis,"Kellogg, Richard E.",ACADIA,1985
634,Bahï¿½ï¿½ Temple temple of ligh,"Kelmans, Marsha",ACADIA,2004
635,The Initial Start: Beginning CAADD for the Brand New Student,"Kennedy, Michael",ACADIA,1987
636,"Fantastic Reconstructions or Reconstructions of the Fantastic? Tracking and Presenting Ambiguity, Alternatives, and Documentation in Virtual Worlds","Kensek, K. and Dodd, L. and Cipolla, N.",ACADIA,2002
637,Plank Lines of Ribbed Timber Shell Structures,"Kensek, K., Leuppi, J. and Noble, D.",ACADIA,2000
638,Mission - Method - Madness [Conference Proceedings],"Kensek, Karen and Noble, Doug",ACADIA,Eds.
639,Digital Reconstruction: The Architecture of Raphael Soriano,"Kensek, Karen and Noble, Douglas",ACADIA,1998
640,Student Initiated Computer Explorations in the Design Studio,"Kensek, Karen M. and Noble, Douglas E.",ACADIA,1994
641,"Computers in Architecture or  ï¿½Are we there yet?ï¿?A short, rambling, personal essay","Kensek, Karen M.",ACADIA,2006
642,goBIM: BIM Review for the iPhone,"Keough, Ian",ACADIA,2009
643,Computing Spatial Qualities For Architecture,"Key, Sora; Mark D Gross; Ellen Yi-Luen Do",ACADIA,2008
644,Mis(sed)information in Public Space,"Khan, Omar ",ACADIA,2007
645,Reconfigurable Molds as Architecture Machines,"Khan, Omar",ACADIA,2008
646,Intuitive and Effective Gestures for Conceptual Architectural Design: An Analysis Of User Elicited Hand Gestures For 3D CAD Modeling,"Khan, Sumbul; Tunï¿½er, Bige",ACADIA,2017
647,Soft Responsive Kinetic System: An Elastic Transformable Architectural Skin for Climatic and Visual Control,"Khoo, Chin Koi; Burry, Jane; Burry, Mark",ACADIA,2011
648,Responsive Materiality for Morphing Architectural Skins,"Khoo, Chin Koi; Salim, Flora",ACADIA,2013
649,ROBOTHERMODON: An Artificial Sun Study Lab with a Robot Arm and Advanced Model Platform -A Thermal Heliodon(STEVE: Solar Thermal EValuation Experiment)," Khorasgani, Mehrnoush Latifi; Prohasky, Daniel; Burry, Jane; Akbarzadeh, Akbar; Khorasgani, Nicholas Willaims",ACADIA,2014
650,An Interactive CAD Based System Integrating Visual Analysis & Design,"Kieffer, Bruce D. ",ACADIA,1986
651,Fabrication of Partially Double-Curved Surfaces out of Flat Sheet Material Through a 3D Puzzle Approach,"Kilian, Axel ",ACADIA,2003
652,Linking Digital Hanging Chain Models to Fabrication,"Kilian, Axel",ACADIA,2004
653,Embodied Computation ï¿?An Actuated Active Bending Tower: Using Simulation-Model-Free Sensor Guided Search To Reach Posture Goals,"Kilian, Axel; Sabourin, Franï¿½ois",ACADIA,2017
654,Off The Page: Object-Oriented Construction Drawings,"Kilkelly, Michael",ACADIA,2000
655,Aqua Lung,"Kim, David; Pela, Christopher ",ACADIA,2013
656,A Systemized Aggregation with Generative Growth Mechanism in Solar Environment,"Kim, Dongil; Lee, Seojoo ",ACADIA,2015
657,Formative Tectonic Screen: Craft In Digital Age,"Kim, Heamin; Zhenhuan, Xu; Heng, Zhang",ACADIA,2014
658,Design Tools Integration in an Integrated Design Environment ,"Kim, Inham",ACADIA,1995
659,Support Form-based Codes with Building Information Modeling ï¿?The Parametric Urban Model Case Study,"Kim, Jong Bum, Clayton, Mark J. ",ACADIA,2010
660,Soft Robotics Applied to Architecture,"Kim, Simon; Yim, Mark; Alcedo, Kevin; Choi, Mike; Wang, Billy; Yang, Hyeji ",ACADIA,2015
661,Motion and Modular Architecture,"Kim, Simon; Yim, Mark; Laucharoen, Jedtsada; Wetmore, Michael; Salek, Sanam; Pan, Sam",ACADIA,2011
662,Model for an Integrated Design Evaluation System using Knowledge Bases,"Kim, Uk",ACADIA,1986
663,"Sustainably Tall: Investment, Energy, Life Cycle","Kimpian, Judit; Mason, Josh; Coenders, Jeroen; Jestico, Dan; Watts, Steve",ACADIA,2009
664,Compression Based Growth Modelling,"Klemmt, Chirstoph",ACADIA,2014
665,Load Responsive Angiogenesis Networks: Structural Growth Simulations of Discrete Members using Variable Topology Spring Systems,"Klemmt, Christoph; Bollinger, Klaus",ACADIA,2016
666,Connecting >> Crossroads of Digital Discourse,"Klinger, Kevin",ACADIA,Ed.
667,Perimetric Boundary,"Klinger, Kevin",ACADIA,2006
668,ACADIA past 15 years reflections in the mirror are closer than they appear,"Klinger, Kevin",ACADIA,2006
669,Informing Design through Production Formulations,"Klinger, Kevin",ACADIA,2011
670,Cellular Tessallation,"Knapp, Chris; Nelson, Jonathan",ACADIA,2014
671,PHIDIAS II - In Support of Collaborative Design,"Knapp, Robert W. and McCall, Raymond ",ACADIA,1996
672,Scattered Solid,"Ko, Minjae; Hwang, Jie-Eun",ACADIA,2014
673,3D City Model Generator: The Application of Neuro-Fuzzy Systems in CAD,"Kobayashi, Yoshihiro ",ACADIA,2002
674,Irregular Vertex Editing and Pattern Design on Mesh,"Kobayashi, Yoshihiro",ACADIA,2011
675,Self-Organizing Map and Axial Spatial Arrangement: Topological Mapping of Alternative Designs,"Kobayashi, Yosihiro",ACADIA,2006
676,The Digital-Physical Feedback Loop: A Case Study,"Kock, Jeffrey ; Bradley, Benjamin ; Levelle, Evan",ACADIA,2012
677,"Cellular Complexity ""Evolve""","Koerner, Julia; Boltenstern, Marie; Al-Rawi, Kais",ACADIA,2014
678,An Experiment in Design Collaboration,"Kolarevic, B.",ACADIA,et. al.
679,CAD@HKU,"Kolarevic, Branko ",ACADIA,1998
680,Digital Architectures,"Kolarevic, Branko ",ACADIA,2000
681,Digital Fabrication: Manufacturing Architecture in the Information Age,"Kolarevic, Branko ",ACADIA,2001
682,Digital Fabrication Manufacturing Architecture in the Information Age,"Kolarevic, Branko ",ACADIA,2001
683,Digital Fabrication: From Digital To Material,"Kolarevic, Branko ",ACADIA,2003
684,Exploring Architecture of Change,"Kolarevic, Branko ",ACADIA,2009
685,Net-enabled Collective Design Authorship,"Kolarevic, Branko and Ng, Edward Y.Y.",ACADIA,1999
686,"Lines, Relations, Drawing and Design","Kolarevic, Branko",ACADIA,1994
687,Designing and Manufacturing in the Digital Age,"Kolarevic, Branko",ACADIA,2004
688,Manufacturing Surface Effects,"Kolarevic, Branko",ACADIA,2006
689,What Is ACADIAï¿½S Future?,"Kolarevic, Branko",ACADIA,2006
690,Towards Computationally Aided Integrative Design,"Kolarevic, Branko",ACADIA,2011
691,Autonomous Botanist: the Poetic Potentials of a New Robotic Species,"Koltick, Nicole ",ACADIA,2015
692,Wiring to the Sky,"Konis, Kyle",ACADIA,2013
693,Bio-Inspired Kinetic Curved-Line Folding for Architectural Applications,"Korner, Axel; Mader, Anja; Saffarian, Saman; Knippers, Jan",ACADIA,2016
694,Beetle Blocks: A New Visual Language for Designers and Makers,"Koschitz, Duks; Ramagosa, Bernat; Rosenbaum, Eric",ACADIA,2016
695,Fuzzy Modeling of Floor Plan Layout,"Koutamanis, Alexander ",ACADIA,2001
696,Agent Generated Architecture ,"Krause, Jeffrey",ACADIA,1997
697,Programs as Pencils: Investigating Form Generation ,"Krawczyk, Robert J. ",ACADIA,1997
698,Virtual Ornaments,"Krawczyk, Robert J. ",ACADIA,1999
699,The Art of Spirolaterals,"Krawczyk, Robert J. ",ACADIA,2001
700,Architecture in the Era of Accelerating Change,"Kretzer, Manuel",ACADIA,2014
701,Resinance: A (Smart) Material Ecology,"Kretzer, Manuel; In, Jessica; Letkemann, Joel; Jaskiewicz, Tomasz",ACADIA,2013
702,HygroSkin:ï¿½A climate-responsive prototype projectï¿½based on the elastic and hygroscopic properties of wood ,"Krieg, Oliver David; Menges, Achim",ACADIA,2013
703,Shared Realities: A Method for Adaptive Design Incorporating Real-Time User Feedback using Virtual Reality and 3D Depth-Sensing Systems,"Krietemeyer, Bess; Bartosh, Amber; Covington, Lorne",ACADIA,2017
704,Electropolymeric Technology for Dynamic Building Envelopes,"Krietemeyer,Elizabeth A.;  Anna H. Dyson",ACADIA,2011
705,Flexible Formwork Research (FPR),"Kudless, A., Vukcevich, I.",ACADIA,2006
706,Bodies in Formation: The material evolution of flexible formworks,"Kudless, Andrew",ACADIA,2011
707,Gordian Knots and Endless Loops,"Kudless, Andrew",ACADIA,2011
708,Silicon + Skin: Biological Processes and Computation,"Kudless, Andrew; Neri Oxman, and Marc Swackhamer, editors",ACADIA,2008
709,Introduction,"Kudless, Andrew; Neri Oxman, and Marc Swackhamer",ACADIA,2008
710,Escarpment Study in a Virtual Flow Environment: A Comparative Analysis of a Single Building Type Modeled in Varying Topological Situations,"Kuenstle, Michael W. ",ACADIA,2002
711,Architecture and Industrial Design A Convergent Process for Design,"Kumar, Shilpi",ACADIA,2006
712,Architecture on Digital Flatland: Opportunities for Presenting Architectural Precedence,"Kwee, Verdy",ACADIA,2007
713,Spaces That Perform Themselves: Multisensory Kinetic Environment for Sonic-Spatial Composition,"L'Huillier, Nicole; Machover, Tod",ACADIA,2017
714,Semantically Rich Building Representation ,"Lachmi, K., Beatrice, B., Timerman, A. and Kalay, Y.E.",ACADIA,1997
715,A Model to Space,"Lagemann, Dennis ",ACADIA,2015
716,CAD in Practice Profile: R.M. Kliment and Frances Halsband Architects,"Laiserin, Jerry ",ACADIA,1999
717,CAD in Practice Profile: Polshek Partnership Architects LLP,"Laiserin, Jerry ",ACADIA,1999
718,Architecture of an Active Context,"Lally, Sean",ACADIA,2012
719,Immersive Real-Time Audio/Visual Architectural Simulations,"Landau, Steven and Grassi, Marc ",ACADIA,2002
720,Architectural Optimization and Open Source Development: Nesting and Genetic Algorithms,"Landim, Gabriele; Digiandomenico, Dyego; Amaro, Jean; Pratschke, Anja; Tramontano, Marcelo; Toledo, Claudio",ACADIA,2017
721,Density and Openess Revisited: The Ideal City of Refigured Civic Space,"Lange, Christian; Rocker, Ingeborg",ACADIA,2014
